TransactionID,ClientID,Date,Amount,Salary
T0144,C096,2024-01-21,9410,50000
T0198,C025,2024-01-21,15600,58000
T0390,C029,2024-01-21,3050,56000
T0398,C076,2024-01-21,9530,37000
T0471,C008,2024-01-21,,45000
T0494,C086,2024-01-21,13190,54000
T0122,C078,2024-01-22,4160,53000
T0129,C022,2024-01-22,21890,51000
T0280,C067,2024-01-22,57330,48000
T0294,C074,2024-01-22,39030,77000
T0321,C009,2024-01-22,41230,60000
T0343,C085,2024-01-22,14360,54000
T0141,C060,2024-01-23,17760,56000
T0193,C080,2024-01-23,242390,43000
T0196,C045,2024-01-23,3820,49000
T0212,C087,2024-01-23,94820,52000
T0377,C091,2024-01-23,11290,63000
T0414,C005,2024-01-23,54060,68000
T0032,C054,2024-01-24,70650,50000
T0162,C028,2024-01-24,37560,47000
T0183,C067,2024-01-24,187580,50000
T0236,C094,2024-01-24,6980,43000
T0382,C073,2024-01-24,39950,62000
T0407,C093,2024-01-24,141410,86000
T0011,C006,2024-01-25,34500,54000
T0018,C038,2024-01-25,39880,42000
T0045,C011,2024-01-25,13430,62000
T0173,C078,2024-01-25,17930,61000
T0364,C071,2024-01-25,40500,70000
T0007,C088,2024-01-26,22650,75000
T0109,C056,2024-01-26,17710,38000
T0157,C067,2024-01-26,57860,60000
T0194,C007,2024-01-26,88680,55000
T0247,C023,2024-01-26,45560,75000
T0262,C075,2024-01-26,33390,49000
T0395,C069,2024-01-26,11860,53000
T0048,C061,2024-01-27,35440,39000
T0345,C067,2024-01-27,25240,82000
T0465,C025,2024-01-27,7000,51000
T0012,C036,2024-01-28,75810,64000
T0081,C092,2024-01-28,56120,40000
T0095,C007,2024-01-28,79410,58000
T0350,C092,2024-01-28,26590,56000
T0357,C032,2024-01-28,74460,85000
T0393,C023,2024-01-28,44680,58000
T0013,C055,2024-01-29,32610,54000
T0019,C100,2024-01-29,35120,53000
T0059,C070,2024-01-29,11280,55000
T0174,C012,2024-01-29,41820,65000
T0326,C072,2024-01-29,177320,66000
T0351,C013,2024-01-29,4620,38000
T0427,C018,2024-01-29,11350,81000
T0468,C088,2024-01-29,149300,68000
T0080,C099,2024-01-30,13910,58000
T0085,C075,2024-01-30,60890,72000
T0118,C064,2024-01-30,79770,62000
T0134,C033,2024-01-30,11970,54000
T0185,C002,2024-01-30,193380,55000
T0263,C011,2024-01-30,108060,64000
T0481,C067,2024-01-30,21390,72000
T0161,C090,2024-01-31,64760,78000
T0213,C035,2024-01-31,86760,51000
T0389,C021,2024-01-31,96800,47000
T0409,C083,2024-01-31,18600,66000
T0411,C097,2024-01-31,428840,62000
T0072,C081,2024-02-01,14820,57000
T0154,C008,2024-02-01,45140,40000
T0255,C076,2024-02-01,21820,61000
T0101,C088,2024-02-02,61920,60000
T0215,C071,2024-02-02,40570,63000
T0375,C018,2024-02-02,50120,52000
T0406,C099,2024-02-02,54900,62000
T0445,C011,2024-02-02,21680,53000
T0454,C039,2024-02-02,55410,68000
T0052,C034,2024-02-03,18760,65000
T0062,C072,2024-02-03,58900,53000
T0078,C032,2024-02-03,54880,42000
T0135,C064,2024-02-03,5750,58000
T0289,C011,2024-02-03,19750,40000
T0311,C074,2024-02-03,82050,85000
T0392,C084,2024-02-03,51720,54000
T0426,C082,2024-02-03,110240,60000
T0446,C018,2024-02-03,23910,63000
T0499,C085,2024-02-03,82300,52000
T0005,C094,2024-02-04,14970,47000
T0023,C052,2024-02-04,10390,72000
T0051,C061,2024-02-04,43570,56000
T0058,C078,2024-02-04,15240,39000
T0127,C099,2024-02-04,31650,58000
T0133,C056,2024-02-04,30980,62000
T0159,C033,2024-02-04,11570,62000
T0167,C010,2024-02-04,51440,57000
T0241,C100,2024-02-04,6620,49000
T0316,C099,2024-02-04,27230,68000
T0401,C077,2024-02-04,4450,53000
T0425,C031,2024-02-04,117850,61000
T0452,C092,2024-02-04,6580,46000
T0009,C067,2024-02-05,315220,65000
T0102,C004,2024-02-05,22810,49000
T0110,C051,2024-02-05,4330,60000
T0111,C050,2024-02-05,57150,72000
T0275,C007,2024-02-05,22080,48000
T0394,C042,2024-02-05,16300,53000
T0047,C030,2024-02-06,5440,71000
T0179,C057,2024-02-06,87360,51000
T0223,C053,2024-02-06,37130,68000
T0300,C064,2024-02-06,37270,55000
T0415,C085,2024-02-06,41580,68000
T0031,C046,2024-02-07,11070,61000
T0214,C006,2024-02-07,103980,70000
T0449,C067,2024-02-07,20980,67000
T0469,C044,2024-02-07,22370,58000
T0069,C059,2024-02-08,16020,48000
T0087,C020,2024-02-08,12840,57000
T0188,C007,2024-02-08,17110,62000
T0200,C013,2024-02-08,,59000
T0279,C068,2024-02-08,22590,51000
T0304,C032,2024-02-08,18160,56000
T0420,C003,2024-02-08,19920,72000
T0187,C073,2024-02-09,64750,74000
T0308,C017,2024-02-09,51420,53000
T0435,C008,2024-02-09,3380,59000
T0493,C074,2024-02-09,57760,52000
T0044,C009,2024-02-10,14920,71000
T0067,C087,2024-02-10,6070,87000
T0068,C072,2024-02-10,13860,64000
T0177,C041,2024-02-10,19130,51000
T0222,C067,2024-02-10,45440,67000
T0302,C044,2024-02-10,11440,74000
T0324,C015,2024-02-10,42090,73000
T0353,C002,2024-02-10,,69000
T0363,C017,2024-02-10,17490,49000
T0043,C080,2024-02-11,10810,53000
T0399,C062,2024-02-11,11280,56000
T0489,C024,2024-02-11,16210,54000
T0235,C052,2024-02-12,123210,47000
T0319,C059,2024-02-12,16130,71000
T0417,C100,2024-02-12,86300,53000
T0455,C023,2024-02-12,221600,56000
T0497,C009,2024-02-12,134230,71000
T0015,C048,2024-02-13,92750,69000
T0029,C063,2024-02-13,25450,67000
T0099,C023,2024-02-13,1163300,88000
T0338,C050,2024-02-13,12620,90000
T0061,C002,2024-02-14,103520,82000
T0152,C100,2024-02-14,81390,66000
T0202,C010,2024-02-14,26510,73000
T0250,C063,2024-02-14,27710,56000
T0483,C022,2024-02-14,83800,60000
T0091,C062,2024-02-15,9560,72000
T0106,C087,2024-02-15,42900,51000
T0195,C100,2024-02-15,9480,64000
T0205,C012,2024-02-15,30060,67000
T0224,C014,2024-02-15,32000,72000
T0232,C098,2024-02-15,149260,85000
T0266,C057,2024-02-15,18280,82000
T0010,C040,2024-02-16,55910,47000
T0064,C021,2024-02-16,10330,72000
T0203,C094,2024-02-16,5760,71000
T0285,C005,2024-02-16,6190,57000
T0323,C025,2024-02-16,19210,66000
T0461,C037,2024-02-16,23200,65000
T0037,C072,2024-02-17,44530,73000
T0093,C059,2024-02-17,46610,67000
T0155,C079,2024-02-17,27360,55000
T0191,C020,2024-02-17,14530,49000
T0245,C069,2024-02-17,104810,52000
T0270,C052,2024-02-17,3130,63000
T0349,C040,2024-02-17,32330,55000
T0057,C046,2024-02-18,26370,71000
T0100,C034,2024-02-18,23160,62000
T0258,C004,2024-02-18,51950,74000
T0277,C053,2024-02-18,82600,58000
T0306,C007,2024-02-18,10500,71000
T0467,C026,2024-02-18,113690,60000
T0472,C016,2024-02-18,287010,56000
T0108,C097,2024-02-19,18430,71000
T0384,C083,2024-02-19,147320,75000
T0404,C010,2024-02-19,20370,83000
T0421,C015,2024-02-19,112120,48000
T0117,C066,2024-02-20,13010,53000
T0260,C072,2024-02-20,27720,46000
T0296,C059,2024-02-20,19710,43000
T0332,C043,2024-02-20,65010,89000
T0424,C034,2024-02-20,8510,75000
T0464,C070,2024-02-20,,55000
T0003,C096,2024-02-21,20150,68000
T0046,C043,2024-02-21,20810,74000
T0228,C033,2024-02-21,34150,43000
T0271,C061,2024-02-21,8310,67000
T0298,C035,2024-02-21,5600,77000
T0367,C015,2024-02-21,12210,63000
T0487,C014,2024-02-21,,55000
T0175,C090,2024-02-22,5830,49000
T0434,C094,2024-02-22,12060,84000
T0006,C068,2024-02-23,65530,78000
T0016,C010,2024-02-23,33860,54000
T0040,C048,2024-02-23,16050,87000
T0169,C008,2024-02-23,46630,79000
T0180,C073,2024-02-23,43610,55000
T0318,C070,2024-02-23,31930,53000
T0430,C009,2024-02-23,24770,62000
T0024,C022,2024-02-24,28810,58000
T0160,C038,2024-02-24,130750,53000
T0348,C058,2024-02-24,75320,43000
T0026,C039,2024-02-25,21860,78000
T0112,C048,2024-02-25,24100,62000
T0268,C015,2024-02-25,27310,68000
T0462,C060,2024-02-25,44260,72000
T0001,C091,2024-02-26,136310,63000
T0113,C003,2024-02-26,6690,88000
T0165,C087,2024-02-26,3690,52000
T0084,C069,2024-02-27,11700,87000
T0168,C041,2024-02-27,16780,52000
T0495,C050,2024-02-27,19280,76000
T0092,C010,2024-02-28,65410,68000
T0453,C093,2024-02-28,18140,61000
T0207,C071,2024-02-29,8770,51000
T0217,C074,2024-02-29,46480,70000
T0249,C089,2024-02-29,23690,63000
T0310,C033,2024-02-29,118060,74000
T0315,C087,2024-02-29,18400,68000
T0328,C021,2024-02-29,154010,55000
T0359,C071,2024-02-29,68360,67000
T0412,C002,2024-02-29,73470,49000
T0073,C055,2024-03-01,2020,65000
T0362,C075,2024-03-01,63930,64000
T0442,C068,2024-03-01,122840,58000
T0126,C061,2024-03-02,4170,78000
T0149,C043,2024-03-02,26210,38000
T0186,C065,2024-03-02,91150,67000
T0283,C093,2024-03-02,68670,57000
T0391,C036,2024-03-02,39140,72000
T0479,C056,2024-03-02,35070,43000
T0482,C056,2024-03-02,30770,83000
T0053,C057,2024-03-03,12310,59000
T0130,C080,2024-03-03,10560,52000
T0197,C076,2024-03-03,104890,56000
T0220,C008,2024-03-03,42390,50000
T0288,C089,2024-03-03,36500,57000
T0299,C010,2024-03-03,11640,56000
T0342,C060,2024-03-03,12500,52000
T0405,C073,2024-03-04,130450,50000
T0447,C054,2024-03-04,16700,48000
T0039,C037,2024-03-05,61090,56000
T0192,C078,2024-03-05,19760,62000
T0239,C075,2024-03-05,75510,47000
T0284,C087,2024-03-05,14910,52000
T0303,C042,2024-03-05,18690,53000
T0121,C020,2024-03-06,13760,90000
T0410,C072,2024-03-06,36870,68000
T0090,C063,2024-03-07,11150,75000
T0097,C038,2024-03-07,16140,70000
T0297,C024,2024-03-07,8240,82000
T0337,C056,2024-03-07,165920,51000
T0431,C079,2024-03-07,27540,71000
T0089,C062,2024-03-08,8120,60000
T0172,C066,2024-03-08,42650,62000
T0352,C008,2024-03-08,7190,79000
T0484,C017,2024-03-08,23490,68000
T0485,C084,2024-03-08,,58000
T0136,C053,2024-03-09,8240,70000
T0137,C031,2024-03-09,22400,69000
T0151,C090,2024-03-09,5780,52000
T0265,C079,2024-03-09,118460,42000
T0273,C036,2024-03-09,19690,72000
T0278,C024,2024-03-09,58590,47000
T0314,C079,2024-03-09,45780,66000
T0474,C096,2024-03-09,22360,73000
T0480,C043,2024-03-09,72830,76000
T0088,C002,2024-03-10,28280,65000
T0307,C038,2024-03-10,41110,66000
T0317,C066,2024-03-10,65800,90000
T0488,C064,2024-03-10,12820,84000
T0060,C018,2024-03-11,10870,42000
T0138,C046,2024-03-11,51400,71000
T0164,C081,2024-03-11,52880,73000
T0201,C084,2024-03-11,170470,63000
T0287,C032,2024-03-11,6050,83000
T0368,C046,2024-03-11,30720,40000
T0385,C055,2024-03-11,11810,58000
T0439,C025,2024-03-11,9120,76000
T0030,C037,2024-03-12,5040,59000
T0189,C077,2024-03-12,276480,57000
T0218,C081,2024-03-12,18970,73000
T0229,C046,2024-03-12,13360,54000
T0259,C087,2024-03-12,2920,88000
T0380,C053,2024-03-12,27440,75000
T0457,C087,2024-03-12,2840,62000
T0049,C074,2024-03-13,95550,62000
T0063,C075,2024-03-13,26190,54000
T0320,C047,2024-03-13,14590,55000
T0371,C027,2024-03-13,56770,48000
T0376,C020,2024-03-13,30560,74000
T0477,C058,2024-03-13,13570,60000
T0221,C053,2024-03-14,73970,46000
T0290,C074,2024-03-14,63160,65000
T0309,C084,2024-03-14,15780,75000
T0416,C095,2024-03-14,120790,59000
T0034,C079,2024-03-15,17090,67000
T0360,C077,2024-03-15,8460,76000
T0466,C042,2024-03-15,39040,55000
T0492,C020,2024-03-15,131530,75000
T0055,C084,2024-03-16,13090,86000
T0096,C061,2024-03-16,2940,51000
T0204,C041,2024-03-16,105370,57000
T0248,C041,2024-03-16,35690,79000
T0281,C011,2024-03-16,32300,54000
T0335,C004,2024-03-16,60310,45000
T0365,C055,2024-03-16,99510,72000
T0460,C033,2024-03-16,27330,59000
T0500,C063,2024-03-16,10510,53000
T0014,C094,2024-03-17,,62000
T0022,C079,2024-03-17,48540,61000
T0027,C047,2024-03-17,7030,78000
T0105,C058,2024-03-17,8670,85000
T0166,C053,2024-03-17,38270,75000
T0428,C099,2024-03-17,9130,67000
T0450,C092,2024-03-17,23340,50000
T0079,C049,2024-03-18,36260,73000
T0171,C080,2024-03-18,8430,60000
T0231,C019,2024-03-18,6980,55000
T0478,C089,2024-03-18,21830,88000
T0056,C063,2024-03-19,10030,81000
T0104,C029,2024-03-19,49910,49000
T0125,C040,2024-03-19,13690,64000
T0291,C079,2024-03-19,284560,75000
T0033,C047,2024-03-20,59410,79000
T0074,C006,2024-03-20,25510,63000
T0140,C024,2024-03-20,11080,76000
T0153,C045,2024-03-20,67210,67000
T0216,C004,2024-03-20,12400,55000
T0387,C044,2024-03-20,15700,53000
T0199,C091,2024-03-21,18250,70000
T0330,C073,2024-03-21,29840,48000
T0458,C088,2024-03-21,112410,54000
T0491,C008,2024-03-21,23450,78000
T0145,C017,2024-03-22,50930,50000
T0242,C019,2024-03-22,14600,49000
T0293,C031,2024-03-22,26330,69000
T0050,C055,2024-03-23,33150,61000
T0148,C057,2024-03-23,25420,79000
T0150,C023,2024-03-23,24770,65000
T0206,C008,2024-03-23,11490,72000
T0208,C015,2024-03-23,33380,52000
T0225,C028,2024-03-23,50140,72000
T0254,C064,2024-03-23,2690,53000
T0264,C079,2024-03-23,39390,43000
T0356,C017,2024-03-23,35100,81000
T0373,C033,2024-03-23,136970,91000
T0438,C099,2024-03-23,32030,56000
T0496,C017,2024-03-23,61950,64000
T0429,C046,2024-03-24,63960,62000
T0017,C025,2024-03-25,54660,60000
T0082,C084,2024-03-25,156270,81000
T0400,C064,2024-03-25,10230,62000
T0433,C007,2024-03-25,83170,75000
T0486,C099,2024-03-25,50360,68000
T0042,C062,2024-03-26,63520,67000
T0181,C052,2024-03-26,27380,71000
T0182,C097,2024-03-26,14970,73000
T0028,C060,2024-03-27,173810,76000
T0035,C016,2024-03-27,46070,51000
T0054,C038,2024-03-27,26900,76000
T0070,C074,2024-03-27,39270,54000
T0083,C065,2024-03-27,57580,70000
T0142,C030,2024-03-27,75400,57000
T0143,C023,2024-03-28,23280,85000
T0331,C098,2024-03-28,7890,89000
T0372,C081,2024-03-28,37090,86000
T0475,C065,2024-03-28,96610,76000
T0086,C047,2024-03-29,111670,71000
T0115,C094,2024-03-29,179650,75000
T0131,C086,2024-03-29,34850,82000
T0209,C083,2024-03-29,108310,73000
T0230,C064,2024-03-29,52920,59000
T0233,C001,2024-03-29,122700,64000
T0333,C056,2024-03-29,108340,55000
T0383,C031,2024-03-29,27030,62000
T0432,C017,2024-03-29,60160,71000
T0004,C027,2024-03-30,10240,88000
T0075,C040,2024-03-30,12700,59000
T0312,C074,2024-03-30,17370,68000
T0397,C082,2024-03-30,33140,63000
T0036,C019,2024-03-31,79400,50000
T0128,C095,2024-03-31,131670,53000
T0413,C043,2024-03-31,265400,42000
